"cutoff","target","tissue","phenotype","module","module_size","gene","correlation"
"8","APP","DLPFC","AD","ATP1B1",90,"INA",0.905
"8","APP","DLPFC","AD","ATP1B1",90,"SNX10",0.903
"8","APP","DLPFC","AD","ATP1B1",90,"NSF",0.902
"8","APP","DLPFC","AD","ATP1B1",90,"TRIM37",0.902
"8","APP","DLPFC","AD","ATP1B1",90,"TBC1D9",0.901
"8","APP","DLPFC","AD","ATP1B1",90,"KCNQ5",0.901
"8","APP","DLPFC","AD","ATP1B1",90,"DNAJC6",0.901
"8","APP","DLPFC","AD","ATP1B1",90,"DCLK1",0.9
"8","APP","DLPFC","AD","ATP1B1",90,"RAB3A",0.9
"8","APP","DLPFC","AD","ATP1B1",90,"CMAS",0.9
"8","APP","DLPFC","AD","ATP1B1",90,"NAPG",0.9
"8","APP","DLPFC","AD","ATP1B1",90,"RASGRF1",0.9
"8","APP","DLPFC","AD","ATP1B1",90,"VDAC1",0.9
"8","APP","DLPFC","AD","ATP1B1",90,"ATP2B2",0.899
"8","APP","DLPFC","AD","ATP1B1",90,"STXBP1",0.898
"8","APP","DLPFC","AD","ATP1B1",90,"KCNC2",0.897
"8","APP","DLPFC","AD","ATP1B1",90,"PRKCE",0.896
"8","APP","DLPFC","AD","ATP1B1",90,"SNAP91",0.896
"8","APP","DLPFC","AD","ATP1B1",90,"OPCML",0.895
"8","APP","DLPFC","AD","ATP1B1",90,"OAT",0.895
"8","APP","DLPFC","AD","ATP1B1",90,"GOT2",0.895
"8","APP","DLPFC","AD","ATP1B1",90,"RTN3",0.894
"8","APP","DLPFC","AD","ATP1B1",90,"HPRT1",0.894
"8","APP","DLPFC","AD","ATP1B1",90,"ADAM23",0.893
"8","APP","DLPFC","AD","PRKAR1A",90,"PRKAR1A",1
"8","APP","DLPFC","AD","PRKAR1A",90,"PJA2",0.909
"8","APP","DLPFC","AD","PRKAR1A",90,"ACTR2",0.907
"8","APP","DLPFC","AD","PRKAR1A",90,"DNAJC6",0.887
"8","APP","DLPFC","AD","PRKAR1A",90,"EIF4G3",0.877
"8","APP","DLPFC","AD","PRKAR1A",90,"PAFAH1B1",0.867
"8","APP","DLPFC","AD","PRKAR1A",90,"ATAD1",0.865
"8","APP","DLPFC","AD","PRKAR1A",90,"SLC25A46",0.864
"8","APP","DLPFC","AD","PRKAR1A",90,"G3BP2",0.86
"8","APP","DLPFC","AD","PRKAR1A",90,"RASAL2",0.854
"8","APP","DLPFC","AD","TPPP",90,"TPPP",1
"8","APP","DLPFC","AD","TPPP",90,"DOCK3",0.827
"8","APP","DLPFC","AD","TPPP",90,"APBA1",0.824
"8","APP","DLPFC","AD","TPPP",90,"FAM131B",0.824
"8","APP","DLPFC","AD","TPPP",90,"EIF4G3",0.817
"8","APP","DLPFC","AD","TPPP",90,"PPM1H",0.813
"8","APP","DLPFC","AD","TPPP",90,"RAPGEF2",0.813
"8","APP","DLPFC","AD","TPPP",90,"CLCN4",0.812
"8","APP","DLPFC","AD","TPPP",90,"DNAJC6",0.812
"8","APP","DLPFC","AD","TPPP",90,"PRKACB",0.805
"8","APP","DLPFC","AD","TPPP",120,"CDS2",0.804
"8","APP","DLPFC","AD","TPPP",120,"FRY",0.803
"8","APP","DLPFC","AD","TPPP",120,"RAB3GAP1",0.798
"8","APP","DLPFC","AD","TPPP",120,"SPIN1",0.794
"8","APP","DLPFC","AD","TPPP",120,"PIK3CB",0.792
"8","APP","DLPFC","AD","TPPP",120,"MFSD6",0.79
"8","APP","DLPFC","AD","TPPP",120,"WDR47",0.789
"8","APP","DLPFC","AD","TPPP",120,"TCP11L1",0.788
"8","APP","DLPFC","AD","TPPP",120,"EPB41L1",0.788
"8","APP","DLPFC","AD","TPPP",120,"SYNJ1",0.784
"8","APP","DLPFC","AD","TPPP",120,"MYO5A",0.784
"8","APP","DLPFC","AD","TPPP",120,"KIF3C",0.783
"8","APP","DLPFC","AD","TPPP",120,"EPB41L3",0.782
"8","APP","DLPFC","AD","TPPP",120,"HLF",0.782
"8","APP","DLPFC","AD","TPPP",120,"LRRC4",0.781
"8","APP","DLPFC","AD","TPPP",120,"PIK3R1",0.78
"8","APP","DLPFC","AD","TPPP",120,"DIRAS2",0.779
"8","APP","DLPFC","AD","TPPP",120,"G3BP2",0.779
"8","APP","DLPFC","AD","TPPP",120,"ATP9A",0.778
"8","APP","DLPFC","AD","TPPP",120,"NCKAP1",0.777
"8","APP","DLPFC","AD","TPPP",120,"MAP2K4",0.776
"8","APP","DLPFC","AD","TPPP",120,"ATP6V1C1",0.775
"8","APP","DLPFC","AD","TPPP",120,"YWHAG",0.775
"8","APP","DLPFC","AD","TPPP",120,"OXR1",0.774
"8","APP","DLPFC","AD","TPPP",120,"SATB1",0.773
"8","APP","DLPFC","AD","TPPP",120,"NPTN",0.772
"8","APP","DLPFC","AD","TPPP",120,"ANK2",0.771
"8","APP","DLPFC","AD","TPPP",120,"PHACTR1",0.771
"8","APP","DLPFC","AD","TPPP",120,"CKAP5",0.77
"8","APP","DLPFC","AD","TPPP",120,"TRIM37",0.77
"8","APP","DLPFC","AD","TPPP",120,"IQSEC1",0.769
"8","APP","DLPFC","AD","TPPP",120,"ITPR1",0.769
"8","APP","DLPFC","AD","TPPP",120,"CNTNAP1",0.768
"8","APP","DLPFC","AD","TPPP",120,"UNC80",0.766
"8","APP","DLPFC","AD","TPPP",120,"BICRAL",0.765
"8","APP","DLPFC","AD","TPPP",120,"PPP3CB",0.765
"8","APP","DLPFC","AD","TPPP",120,"SLITRK5",0.763
"8","APP","DLPFC","AD","TPPP",120,"FAM13B",0.762
"8","APP","DLPFC","AD","TPPP",120,"NSF",0.762
"8","APP","DLPFC","AD","TPPP",120,"DNM3",0.761
"8","APP","DLPFC","AD","FBXO11",120,"FBXO11",1
"8","APP","DLPFC","AD","FBXO11",120,"SPIN1",0.859
"8","APP","DLPFC","AD","FBXO11",120,"NCKAP1",0.849
"8","APP","DLPFC","AD","FBXO11",120,"PRKACB",0.844
"8","APP","DLPFC","AD","FBXO11",120,"MATR3",0.842
"8","APP","DLPFC","AD","FBXO11",120,"SSX2IP",0.832
"8","APP","DLPFC","AD","FBXO11",120,"SCAMP1",0.831
"8","APP","DLPFC","AD","FBXO11",120,"NPTN",0.829
"8","APP","DLPFC","AD","FBXO11",120,"SLC9A6",0.828
"8","APP","DLPFC","AD","FBXO11",120,"DLGAP1",0.827
"8","APP","DLPFC","AD","FBXO11",120,"WASF1",0.826
"8","APP","DLPFC","AD","FBXO11",120,"PREPL",0.824
"8","APP","DLPFC","AD","FBXO11",120,"KCNQ5",0.823
"8","APP","DLPFC","AD","FBXO11",120,"UBQLN2",0.822
"8","APP","DLPFC","AD","FBXO11",120,"AASDHPPT",0.821
"8","APP","DLPFC","AD","FBXO11",120,"CDK5R1",0.821
"8","APP","DLPFC","AD","FBXO11",120,"FBXO34",0.818
"8","APP","DLPFC","AD","FBXO11",120,"ATP6V1C1",0.817
"8","APP","DLPFC","AD","FBXO11",120,"CHN1",0.817
"8","APP","DLPFC","AD","FBXO11",120,"WDR47",0.816
"8","APP","DLPFC","AD","FBXO11",120,"GRIA2",0.816
"8","APP","DLPFC","AD","FBXO11",120,"ADAM22",0.815
"8","APP","DLPFC","AD","FBXO11",120,"LDB2",0.814
"8","APP","DLPFC","AD","FBXO11",120,"DYRK1A",0.814
"8","APP","DLPFC","AD","FBXO11",120,"SYNJ1",0.813
"8","APP","DLPFC","AD","FBXO11",120,"MAP2K4",0.813
"8","APP","DLPFC","AD","FBXO11",120,"EIF4A2",0.813
"8","APP","DLPFC","AD","FBXO11",120,"GRM5",0.811
"8","APP","DLPFC","AD","FBXO11",120,"YWHAG",0.811
"8","APP","DLPFC","AD","FBXO11",120,"GABRB3",0.811
"8","APP","DLPFC","AD","FBXO11",120,"ATP2A2",0.81
"8","APP","DLPFC","AD","FBXO11",120,"GUCY1B1",0.81
"8","APP","DLPFC","AD","FBXO11",120,"PPP3R1",0.81
"8","APP","DLPFC","AD","FBXO11",120,"DOCK3",0.808
"8","APP","DLPFC","AD","FBXO11",120,"RAPGEF2",0.808
"8","APP","DLPFC","AD","FBXO11",120,"SNAP91",0.808
"8","APP","DLPFC","AD","FBXO11",120,"EIF4G3",0.807
"8","APP","DLPFC","AD","FBXO11",120,"TRIM23",0.807
"8","APP","DLPFC","AD","FBXO11",120,"PJA2",0.807
"8","APP","DLPFC","AD","FBXO11",120,"GABRB2",0.807
"8","APP","DLPFC","AD","FBXO11",120,"HLF",0.807
"8","APP","DLPFC","AD","FBXO11",120,"ATRNL1",0.807
"8","APP","DLPFC","AD","FBXO11",120,"LMTK2",0.805
"8","APP","DLPFC","AD","FBXO11",120,"LNX1",0.804
"8","APP","DLPFC","AD","FBXO11",120,"PPP3CB",0.804
"8","APP","DLPFC","AD","FBXO11",120,"ARHGEF9",0.804
"8","APP","DLPFC","AD","FBXO11",120,"FAM169A",0.803
"8","APP","DLPFC","AD","FBXO11",120,"STXBP1",0.803
"8","APP","DLPFC","AD","FBXO11",120,"CNKSR2",0.803
"8","APP","DLPFC","AD","FBXO11",120,"ITPR1",0.802
"8","APP","DLPFC","AD","SERINC3",120,"SERINC3",1
"8","APP","DLPFC","AD","SERINC3",120,"SLC30A9",0.904
"8","APP","DLPFC","AD","SERINC3",120,"G3BP2",0.895
"8","APP","DLPFC","AD","SERINC3",120,"PAFAH1B1",0.892
"8","APP","DLPFC","AD","SERINC3",120,"PPM1H",0.892
"8","APP","DLPFC","AD","SERINC3",120,"OXCT1",0.892
"8","APP","DLPFC","AD","SERINC3",120,"PJA2",0.881
"8","APP","DLPFC","AD","SERINC3",120,"DNAJC6",0.88
"8","APP","DLPFC","AD","SERINC3",120,"ZNF25",0.876
"8","APP","DLPFC","AD","SERINC3",120,"UBQLN1",0.871
"8","APP","DLPFC","AD","SERINC3",120,"PRKACB",0.869
"8","APP","DLPFC","AD","SERINC3",120,"DOCK3",0.867
"8","APP","DLPFC","AD","SERINC3",120,"DYNC1I1",0.866
"8","APP","DLPFC","AD","SERINC3",120,"OPCML",0.866
"8","APP","DLPFC","AD","SERINC3",120,"TOMM20",0.866
"8","APP","DLPFC","AD","SERINC3",120,"OXR1",0.865
"8","APP","DLPFC","AD","SERINC3",120,"MFSD6",0.864
"8","APP","DLPFC","AD","SERINC3",120,"DPP10",0.864
"8","APP","DLPFC","AD","SERINC3",120,"ACTR2",0.864
"8","APP","DLPFC","AD","SERINC3",120,"ATP9A",0.864
"8","APP","DLPFC","AD","SERINC3",120,"GPRASP2",0.862
"8","APP","DLPFC","AD","SERINC3",120,"ATP6AP2",0.862
"8","APP","DLPFC","AD","SERINC3",120,"NDFIP1",0.861
"8","APP","DLPFC","AD","SERINC3",120,"PCMT1",0.86
"8","APP","DLPFC","AD","SERINC3",120,"ITFG1",0.859
"8","APP","DLPFC","AD","SERINC3",120,"DSTN",0.859
"8","APP","DLPFC","AD","SERINC3",120,"SNAP25",0.858
"8","APP","DLPFC","AD","SERINC3",120,"FAM3C",0.857
"8","APP","DLPFC","AD","SERINC3",120,"MTMR7",0.856
"8","APP","DLPFC","AD","SERINC3",120,"SLC25A46",0.855
"8","APP","DLPFC","AD","SERINC3",10,"OLFM3",0.855
"8","APP","DLPFC","AD","SERINC3",10,"RAB6A",0.855
"8","APP","DLPFC","AD","SERINC3",10,"NSF",0.855
"8","APP","DLPFC","AD","SERINC3",10,"CALM3",0.855
"8","APP","DLPFC","AD","SERINC3",10,"RAB3GAP1",0.854
"8","APP","DLPFC","AD","SERINC3",10,"EIF4G3",0.854
"8","APP","DLPFC","AD","SERINC3",10,"NMNAT2",0.854
"8","APP","DLPFC","AD","SERINC3",10,"UNC80",0.853
"8","APP","DLPFC","AD","SERINC3",10,"RAP1GDS1",0.852
"8","APP","DLPFC","AD","SERINC3",10,"UCHL5",0.852
"8","APP","DLPFC","AD","SERINC3",150,"PPP3CB",0.851
"8","APP","DLPFC","AD","SERINC3",150,"DLGAP1",0.851
"8","APP","DLPFC","AD","SERINC3",150,"GPRASP1",0.85
"8","APP","DLPFC","AD","SERINC3",150,"DNM3",0.849
"8","APP","DLPFC","AD","SERINC3",150,"SUCLA2",0.849
"8","APP","DLPFC","AD","SERINC3",150,"PRKAR1A",0.849
"8","APP","DLPFC","AD","SERINC3",150,"GUCY1B1",0.848
"8","APP","DLPFC","AD","SERINC3",150,"GABARAPL1",0.848
"8","APP","DLPFC","AD","SERINC3",150,"KCNQ5",0.848
"8","APP","DLPFC","AD","SERINC3",150,"TRIM37",0.848
"8","APP","DLPFC","AD","SERINC3",150,"KRT222",0.848
"8","APP","DLPFC","AD","SERINC3",150,"CNTNAP2",0.848
"8","APP","DLPFC","AD","SERINC3",150,"GOT1",0.847
"8","APP","DLPFC","AD","SERINC3",150,"TRAPPC6B",0.847
"8","APP","DLPFC","AD","SERINC3",150,"WDR47",0.847
"8","APP","DLPFC","AD","SERINC3",150,"ATAD1",0.847
"8","APP","DLPFC","AD","SERINC3",150,"SYT4",0.847
"8","APP","DLPFC","AD","SERINC3",150,"ATP6V1C1",0.846
"8","APP","DLPFC","AD","SERINC3",150,"NBEA",0.845
"8","APP","DLPFC","AD","SERINC3",150,"TMEM178B",0.845
"8","APP","DLPFC","AD","SERINC3",150,"NCALD",0.845
"8","APP","DLPFC","AD","SERINC3",150,"PCDHAC2",0.845
"8","APP","DLPFC","AD","SERINC3",150,"YWHAG",0.845
"8","APP","DLPFC","AD","SERINC3",150,"STXBP5L",0.844
"8","APP","DLPFC","AD","SERINC3",150,"HEATR5B",0.844
"8","APP","DLPFC","AD","SERINC3",150,"NELL2",0.844
"8","APP","DLPFC","AD","SERINC3",150,"RCAN2",0.842
"8","APP","DLPFC","AD","SERINC3",150,"PAK1",0.842
"8","APP","DLPFC","AD","SERINC3",150,"CDK14",0.842
"8","APP","DLPFC","AD","SERINC3",150,"EPB41L3",0.841
"8","APP","DLPFC","AD","SERINC3",150,"MAPK9",0.841
"8","APP","DLPFC","AD","SERINC3",150,"ATRN",0.841
"8","APP","DLPFC","AD","SERINC3",150,"ADAM22",0.84
"8","APP","DLPFC","AD","SERINC3",150,"SLC39A10",0.839
"8","APP","DLPFC","AD","SERINC3",150,"PAIP2",0.839
"8","APP","DLPFC","AD","SERINC3",150,"SYNJ1",0.838
"8","APP","DLPFC","AD","SERINC3",150,"FBXO9",0.838
"8","APP","DLPFC","AD","SERINC3",150,"TBC1D9",0.837
"8","APP","DLPFC","AD","SERINC3",150,"REEP5",0.837
"8","APP","DLPFC","AD","SERINC3",150,"MOAP1",0.837
"8","APP","DLPFC","AD","SERINC3",150,"C11orf87",0.837
"8","APP","DLPFC","AD","SERINC3",150,"RASAL2",0.836
"8","APP","DLPFC","AD","SERINC3",150,"ARL1",0.836
"8","APP","DLPFC","AD","SERINC3",150,"ATP2B2",0.836
"8","APP","DLPFC","AD","SERINC3",150,"DYNC1LI1",0.836
"8","APP","DLPFC","AD","SERINC3",150,"CDC42SE2",0.836
"8","APP","DLPFC","AD","SERINC3",150,"HIVEP2",0.836
"8","APP","DLPFC","AD","SERINC3",150,"RAB2A",0.835
"8","APP","DLPFC","AD","SERINC3",150,"GSK3B",0.835
"8","APP","DLPFC","AD","SERINC3",150,"NECAP1",0.835
"8","APP","DLPFC","AD","ABCD3",150,"ABCD3",1
"8","APP","DLPFC","AD","ABCD3",150,"ADD3",0.787
"8","APP","DLPFC","AD","ABCD3",150,"DAG1",0.778
"8","APP","DLPFC","AD","ABCD3",150,"FGFR3",0.777
"8","APP","DLPFC","AD","ABCD3",150,"PON2",0.772
"8","APP","DLPFC","AD","ABCD3",150,"MLC1",0.766
"8","APP","DLPFC","AD","ABCD3",150,"HEPACAM",0.766
"8","APP","DLPFC","AD","ABCD3",150,"HEPH",0.764
"8","APP","DLPFC","AD","ABCD3",150,"GPM6B",0.764
"8","APP","DLPFC","AD","ABCD3",150,"NTRK2",0.758
"8","APP","DLPFC","AD","ABCD3",150,"NDRG2",0.746
"8","APP","DLPFC","AD","ABCD3",150,"GPR37L1",0.745
"8","APP","DLPFC","AD","ABCD3",150,"APCDD1",0.745
"8","APP","DLPFC","AD","ABCD3",150,"TMBIM6",0.745
"8","APP","DLPFC","AD","ABCD3",150,"QKI",0.742
"8","APP","DLPFC","AD","ABCD3",150,"SNX5",0.74
"8","APP","DLPFC","AD","ABCD3",150,"PLPP3",0.738
"8","APP","DLPFC","AD","ABCD3",150,"SLC4A4",0.737
"8","APP","DLPFC","AD","ABCD3",150,"GLUD1",0.736
"8","APP","DLPFC","AD","ABCD3",150,"GPAM",0.735
"8","APP","DLPFC","AD","PTAR1",150,"PTAR1",1
"8","APP","DLPFC","AD","PTAR1",150,"QKI",0.823
"8","APP","DLPFC","AD","PTAR1",150,"EFCAB14",0.802
"8","APP","DLPFC","AD","PTAR1",150,"GOLIM4",0.774
"8","APP","DLPFC","AD","PTAR1",150,"PREX2",0.77
"8","APP","DLPFC","AD","PTAR1",150,"IL6ST",0.769
"8","APP","DLPFC","AD","PTAR1",150,"CPNE3",0.762
"8","APP","DLPFC","AD","PTAR1",150,"NEBL",0.752
"8","APP","DLPFC","AD","PTAR1",150,"YAP1",0.75
"8","APP","DLPFC","AD","PTAR1",150,"GNA13",0.743
"8","APP","DLPFC","AD","FBXO9",150,"FBXO9",1
"8","APP","DLPFC","AD","FBXO9",150,"G3BP2",0.858
"8","APP","DLPFC","AD","FBXO9",150,"PPM1H",0.857
"8","APP","DLPFC","AD","FBXO9",150,"DNAJC6",0.856
"8","APP","DLPFC","AD","FBXO9",150,"DYNC1LI1",0.847
"8","APP","DLPFC","AD","FBXO9",150,"KRT222",0.842
"8","APP","DLPFC","AD","FBXO9",150,"SUCLA2",0.841
"8","APP","DLPFC","AD","FBXO9",150,"STXBP5L",0.839
"8","APP","DLPFC","AD","FBXO9",150,"OXR1",0.839
"8","APP","DLPFC","AD","FBXO9",150,"SERINC3",0.838
"8","APP","DLPFC","AD","FBXO9",150,"SNAP25",0.837
"8","APP","DLPFC","AD","FBXO9",150,"UNC80",0.834
"8","APP","DLPFC","AD","FBXO9",150,"PAFAH1B1",0.834
"8","APP","DLPFC","AD","FBXO9",150,"DYNC1I1",0.833
"8","APP","DLPFC","AD","FBXO9",150,"ITFG1",0.833
"8","APP","DLPFC","AD","FBXO9",150,"NUAK1",0.833
"8","APP","DLPFC","AD","FBXO9",150,"HS6ST2",0.832
"8","APP","DLPFC","AD","FBXO9",150,"SLC25A46",0.83
"8","APP","DLPFC","AD","FBXO9",150,"GPRASP2",0.829
"8","APP","DLPFC","AD","FBXO9",150,"DCLK1",0.828
"8","APP","DLPFC","AD","YWHAE",150,"YWHAE",1
"8","APP","DLPFC","AD","YWHAE",150,"GDI1",0.53
"8","APP","DLPFC","AD","YWHAE",150,"MTPN",0.521
"8","APP","DLPFC","AD","YWHAE",150,"APLP2",0.517
"8","APP","DLPFC","AD","YWHAE",150,"TMEM30A",0.502
"8","APP","DLPFC","AD","YWHAE",150,"CLIP3",0.495
"8","APP","DLPFC","AD","YWHAE",150,"SHISA7",0.485
"8","APP","DLPFC","AD","YWHAE",150,"EP400",0.482
"8","APP","DLPFC","AD","YWHAE",150,"TSPAN7",0.475
"8","APP","DLPFC","AD","YWHAE",150,"TUBB4A",0.473
"8","APP","DLPFC","AD","YWHAE",150,"GPM6A",0.473
"8","APP","DLPFC","AD","YWHAE",150,"PREPL",0.471
"8","APP","DLPFC","AD","YWHAE",150,"PPFIA2",0.467
"8","APP","DLPFC","AD","YWHAE",150,"PJA2",0.465
"8","APP","DLPFC","AD","YWHAE",150,"PPP2CA",0.465
"8","APP","DLPFC","AD","YWHAE",150,"YWHAZ",0.461
"8","APP","DLPFC","AD","YWHAE",150,"USP11",0.458
"8","APP","DLPFC","AD","YWHAE",150,"ATP8A1",0.453
"8","APP","DLPFC","AD","YWHAE",150,"SS18L1",0.453
"8","APP","DLPFC","AD","YWHAE",150,"ARF1",0.452
"8","APP","DLPFC","AD","SCN8A",150,"SCN8A",1
"8","APP","DLPFC","AD","SCN8A",150,"SLC4A10",0.799
"8","APP","DLPFC","AD","SCN8A",150,"ADD2",0.788
"8","APP","DLPFC","AD","SCN8A",150,"G3BP2",0.781
"8","APP","DLPFC","AD","SCN8A",150,"C1QL3",0.78
"8","APP","DLPFC","AD","SCN8A",150,"STXBP5",0.769
"8","APP","DLPFC","AD","SCN8A",150,"AKT3",0.766
"8","APP","DLPFC","AD","SCN8A",150,"KCNB1",0.763
"8","APP","DLPFC","AD","SCN8A",150,"RGS7BP",0.763
"8","APP","DLPFC","AD","SCN8A",150,"SCN2A",0.753
"8","APP","DLPFC","AD","ZFPM1",150,"ZFPM1",1
"8","APP","DLPFC","AD","ZFPM1",150,"BCL7C",0.414
"8","APP","DLPFC","AD","ZFPM1",150,"GATAD2A",0.406
"8","APP","DLPFC","AD","ZFPM1",150,"ZNF395",0.402
"8","APP","DLPFC","AD","ZFPM1",150,"ZNFX1",0.398
"8","APP","DLPFC","AD","ZFPM1",150,"C8orf82",0.398
"8","APP","DLPFC","AD","ZFPM1",150,"IL17RC",0.392
"8","APP","DLPFC","AD","ZFPM1",150,"RIN3",0.392
"8","APP","DLPFC","AD","ZFPM1",150,"REXO1",0.39
"8","APP","DLPFC","AD","ZFPM1",150,"SAPCD2",0.389
"8","APP","DLPFC","AD","DEAF1",150,"DEAF1",1
"8","APP","DLPFC","AD","DEAF1",150,"PRRC2A",0.444
"8","APP","DLPFC","AD","DEAF1",150,"KCTD3",0.431
"8","APP","DLPFC","AD","DEAF1",150,"NUCKS1",0.42
"8","APP","DLPFC","AD","DEAF1",150,"GRIN1",0.413
"8","APP","DLPFC","AD","DEAF1",150,"EML3",0.413
"8","APP","DLPFC","AD","DEAF1",150,"C1orf198",0.412
"8","APP","DLPFC","AD","DEAF1",150,"ERBIN",0.404
"8","APP","DLPFC","AD","DEAF1",150,"DDX56",0.398
"8","APP","DLPFC","AD","DEAF1",150,"ABCC9",0.395
"8","APP","DLPFC","AD","DEAF1",50,"SLC6A8",0.39
"8","APP","DLPFC","AD","DEAF1",50,"AKT1",0.39
"8","APP","DLPFC","AD","DEAF1",50,"SPATA13",0.39
"8","APP","DLPFC","AD","DEAF1",50,"MDM2",0.387
"8","APP","DLPFC","AD","DEAF1",50,"GOLM2",0.386
"8","APP","DLPFC","AD","DEAF1",50,"ST6GALNAC6",0.384
"8","APP","DLPFC","AD","DEAF1",50,"CIC",0.384
"8","APP","DLPFC","AD","DEAF1",50,"ZNF608",0.384
"8","APP","DLPFC","AD","DEAF1",50,"PCGF5",0.381
"8","APP","DLPFC","AD","DEAF1",50,"HIPK3",0.38
"8","APP","DLPFC","AD","ASTE1",50,"ASTE1",1
"8","APP","DLPFC","AD","ASTE1",50,"POLR3C",0.493
"8","APP","DLPFC","AD","ASTE1",50,"RTCB",0.489
"8","APP","DLPFC","AD","ASTE1",50,"BACE1",0.485
"8","APP","DLPFC","AD","ASTE1",50,"EXOC1",0.483
"8","APP","DLPFC","AD","ASTE1",50,"EIF4H",0.478
"8","APP","DLPFC","AD","ASTE1",50,"KIFBP",0.476
"8","APP","DLPFC","AD","ASTE1",50,"DLD",0.474
"8","APP","DLPFC","AD","ASTE1",50,"CCDC115",0.473
"8","APP","DLPFC","AD","ASTE1",50,"CLASP2",0.47
"8","APP","DLPFC","AD","ASTE1",50,"TOP2B",0.467
"8","APP","DLPFC","AD","ASTE1",50,"ALKBH8",0.465
"8","APP","DLPFC","AD","ASTE1",50,"HDHD2",0.465
"8","APP","DLPFC","AD","ASTE1",50,"HLTF",0.464
"8","APP","DLPFC","AD","ASTE1",50,"NDUFV1",0.458
"8","APP","DLPFC","AD","ASTE1",50,"PARN",0.457
"8","APP","DLPFC","AD","ASTE1",50,"ASH2L",0.454
"8","APP","DLPFC","AD","ASTE1",50,"FBXO38",0.454
"8","APP","DLPFC","AD","ASTE1",50,"AGTPBP1",0.453
"8","APP","DLPFC","AD","ASTE1",50,"DDX28",0.452
"8","APP","DLPFC","AD","ASTE1",50,"ADSS2",0.452
"8","APP","DLPFC","AD","ASTE1",50,"DTD1",0.451
"8","APP","DLPFC","AD","ASTE1",50,"RAB14",0.451
"8","APP","DLPFC","AD","ASTE1",50,"SKP1",0.449
"8","APP","DLPFC","AD","ASTE1",50,"NUP133",0.446
"8","APP","DLPFC","AD","ASTE1",50,"SLC30A9",0.446
"8","APP","DLPFC","AD","ASTE1",50,"ZNF449",0.446
